# time(ps) Nwater Force (pN) Pressure Dif (atm) 
1 176 12230.768 26354.14404345152
2 177 12300.260999999999 26503.883498243853
3 189 13134.177 28300.756955751913
4 193 13412.149 28899.714774921267
5 190 13203.669999999998 28450.496410544252
6 193 13412.149 28899.714774921267
7 193 13412.149 28899.714774921267
8 197 13690.121 29498.672594090618
9 197 13690.121 29498.672594090618
10 191 13273.162999999999 28600.235865336588
11 193 13412.149 28899.714774921267
12 192 13342.655999999999 28749.975320128928
13 194 13481.642 29049.454229713607
14 198 13759.614 29648.41204888296
15 197 13690.121 29498.672594090618
16 189 13134.177 28300.756955751913
17 194 13481.642 29049.454229713607
18 196 13620.627999999999 29348.933139298282
19 197 13690.121 29498.672594090618
20 194 13481.642 29049.454229713607
21 192 13342.655999999999 28749.975320128928
22 200 13898.599999999999 29947.890958467633
23 197 13690.121 29498.672594090618
24 195 13551.134999999998 29199.19368450594
25 197 13690.121 29498.672594090618
26 195 13551.134999999998 29199.19368450594
27 198 13759.614 29648.41204888296
28 197 13690.121 29498.672594090618
29 201 13968.092999999999 30097.630413259973
30 198 13759.614 29648.41204888296
31 196 13620.627999999999 29348.933139298282
32 194 13481.642 29049.454229713607
33 192 13342.655999999999 28749.975320128928
34 190 13203.669999999998 28450.496410544252
35 187 12995.190999999999 28001.278046167237
36 187 12995.190999999999 28001.278046167237
37 193 13412.149 28899.714774921267
38 190 13203.669999999998 28450.496410544252
39 201 13968.092999999999 30097.630413259973
40 193 13412.149 28899.714774921267
41 199 13829.106999999998 29798.151503675293
42 190 13203.669999999998 28450.496410544252
43 196 13620.627999999999 29348.933139298282
44 201 13968.092999999999 30097.630413259973
45 195 13551.134999999998 29199.19368450594
46 197 13690.121 29498.672594090618
47 191 13273.162999999999 28600.235865336588
48 195 13551.134999999998 29199.19368450594
49 198 13759.614 29648.41204888296
50 198 13759.614 29648.41204888296
51 194 13481.642 29049.454229713607
52 201 13968.092999999999 30097.630413259973
53 196 13620.627999999999 29348.933139298282
54 202 14037.586 30247.369868052312
55 196 13620.627999999999 29348.933139298282
56 196 13620.627999999999 29348.933139298282
57 186 12925.697999999999 27851.538591374898
58 195 13551.134999999998 29199.19368450594
59 196 13620.627999999999 29348.933139298282
60 192 13342.655999999999 28749.975320128928
61 196 13620.627999999999 29348.933139298282
62 195 13551.134999999998 29199.19368450594
63 195 13551.134999999998 29199.19368450594
64 190 13203.669999999998 28450.496410544252
65 197 13690.121 29498.672594090618
66 194 13481.642 29049.454229713607
67 195 13551.134999999998 29199.19368450594
68 197 13690.121 29498.672594090618
69 192 13342.655999999999 28749.975320128928
70 194 13481.642 29049.454229713607
71 191 13273.162999999999 28600.235865336588
72 191 13273.162999999999 28600.235865336588
73 190 13203.669999999998 28450.496410544252
74 198 13759.614 29648.41204888296
75 194 13481.642 29049.454229713607
76 197 13690.121 29498.672594090618
77 198 13759.614 29648.41204888296
78 198 13759.614 29648.41204888296
79 197 13690.121 29498.672594090618
80 195 13551.134999999998 29199.19368450594
81 193 13412.149 28899.714774921267
82 194 13481.642 29049.454229713607
83 193 13412.149 28899.714774921267
84 198 13759.614 29648.41204888296
85 196 13620.627999999999 29348.933139298282
86 194 13481.642 29049.454229713607
87 200 13898.599999999999 29947.890958467633
88 197 13690.121 29498.672594090618
89 194 13481.642 29049.454229713607
90 196 13620.627999999999 29348.933139298282
91 197 13690.121 29498.672594090618
92 194 13481.642 29049.454229713607
93 193 13412.149 28899.714774921267
94 194 13481.642 29049.454229713607
95 197 13690.121 29498.672594090618
96 195 13551.134999999998 29199.19368450594
97 197 13690.121 29498.672594090618
98 188 13064.684 28151.017500959577
99 197 13690.121 29498.672594090618
100 187 12995.190999999999 28001.278046167237
101 197 13690.121 29498.672594090618
102 194 13481.642 29049.454229713607
103 188 13064.684 28151.017500959577
104 193 13412.149 28899.714774921267
105 196 13620.627999999999 29348.933139298282
106 192 13342.655999999999 28749.975320128928
107 192 13342.655999999999 28749.975320128928
108 195 13551.134999999998 29199.19368450594
109 197 13690.121 29498.672594090618
110 195 13551.134999999998 29199.19368450594
111 197 13690.121 29498.672594090618
112 201 13968.092999999999 30097.630413259973
113 197 13690.121 29498.672594090618
114 194 13481.642 29049.454229713607
115 201 13968.092999999999 30097.630413259973
116 193 13412.149 28899.714774921267
117 202 14037.586 30247.369868052312
118 196 13620.627999999999 29348.933139298282
119 195 13551.134999999998 29199.19368450594
120 195 13551.134999999998 29199.19368450594
121 200 13898.599999999999 29947.890958467633
122 192 13342.655999999999 28749.975320128928
123 196 13620.627999999999 29348.933139298282
124 195 13551.134999999998 29199.19368450594
125 193 13412.149 28899.714774921267
126 202 14037.586 30247.369868052312
127 197 13690.121 29498.672594090618
128 197 13690.121 29498.672594090618
129 196 13620.627999999999 29348.933139298282
130 193 13412.149 28899.714774921267
131 194 13481.642 29049.454229713607
132 197 13690.121 29498.672594090618
133 194 13481.642 29049.454229713607
134 196 13620.627999999999 29348.933139298282
135 189 13134.177 28300.756955751913
136 189 13134.177 28300.756955751913
137 190 13203.669999999998 28450.496410544252
138 197 13690.121 29498.672594090618
139 201 13968.092999999999 30097.630413259973
140 195 13551.134999999998 29199.19368450594
141 192 13342.655999999999 28749.975320128928
142 197 13690.121 29498.672594090618
143 200 13898.599999999999 29947.890958467633
144 194 13481.642 29049.454229713607
145 195 13551.134999999998 29199.19368450594
146 198 13759.614 29648.41204888296
147 190 13203.669999999998 28450.496410544252
148 189 13134.177 28300.756955751913
149 191 13273.162999999999 28600.235865336588
150 190 13203.669999999998 28450.496410544252
