0 0.0000
5000 298.4952
10000 296.4747
15000 300.4991
20000 304.2266
25000 293.9629
30000 311.6756
35000 299.4726
40000 292.7522
45000 306.0250
50000 288.3027
55000 297.0996
60000 302.8606
65000 307.2245
70000 285.9954
75000 305.0898
80000 292.2415
85000 292.3269
90000 309.4024
95000 290.7382
100000 294.7491
105000 298.0050
110000 293.9763
115000 292.5623
120000 301.9708
125000 299.3983
130000 296.6946
135000 299.5550
140000 305.7535
145000 301.5181
150000 298.0504
155000 294.5366
160000 294.5516
165000 286.4019
170000 300.1359
175000 299.3832
180000 303.4594
185000 307.2513
190000 298.2173
195000 297.4444
200000 301.1529
205000 296.3395
210000 304.0051
215000 293.6040
220000 300.3321
225000 307.2813
230000 298.3332
235000 300.5198
240000 301.7130
245000 302.8630
250000 294.4056
255000 302.4240
260000 306.1834
265000 288.2920
270000 302.7788
275000 300.4978
280000 312.4787
285000 296.3841
290000 306.1254
295000 308.1546
300000 302.3313
305000 305.8918
310000 290.4641
315000 303.4693
320000 293.0155
325000 297.8717
330000 306.1519
335000 305.1151
340000 302.1243
345000 303.3610
350000 298.7619
355000 290.9226
360000 306.4671
365000 305.0470
370000 310.9568
375000 310.6930
380000 293.7374
385000 299.9567
390000 292.2223
395000 299.1190
400000 299.5389
405000 303.3129
410000 297.1868
415000 310.9465
420000 308.0804
425000 286.7321
430000 300.5040
435000 297.1059
440000 303.9116
445000 302.3247
450000 290.8780
455000 298.3430
460000 302.5654
465000 293.5359
470000 296.7144
475000 300.2803
480000 312.2988
485000 307.7954
490000 301.8483
495000 312.6475
500000 298.2512

